day,price,momentum,mean_reversion,buy_hold
0,100.23623193419353,100000,100000,100000
1,100.07802812081916,100000,100000,99850.06058208142
2,99.93098424901395,100000,100000,99710.69812250028
3,101.64386026143224,100000,100000,101334.09535162365
4,99.03976875873204,100000,100000,98866.03876187741
5,99.16822122720329,100000,100000,98987.7810128509
6,98.56594479262132,100000,100000,98416.96684534657
7,97.78371737324501,100000,100000,97675.60213712872
8,97.89593092507225,100000,100000,97781.9537748338
9,98.74450138258203,100000,100000,98586.19583289874
10,98.82267164520587,100000,100000,98660.2825658691
11,96.68056456851929,100000,100000,96630.07683727761
12,96.55899001637854,100000,100000,96514.85320775257
13,95.97457995066718,100000,100000,95960.97208940578
14,96.36945262632854,100000,100000,96335.21704518641
15,97.02265651671895,100000,100000,96954.29827349744
16,99.26409085797972,100000,100000,99078.642518197
17,98.03885295983227,100000,100000,97917.4097176621
18,97.89509989978748,100000,100000,97781.1661614077
19,97.69675753625938,100000,100000,97593.18498761878
20,98.39248891240541,100000,100000,98252.57211199975
21,96.56303905257225,100000,100000,96518.69072669139
22,96.21247114153122,100000,100000,96186.43610272705
23,97.15600164891731,100000,100000,97080.67760075668
24,97.37003318827226,100000,100000,97283.5283648603
25,98.25952400704954,100000,100000,98126.55314894555
26,97.45239828645956,100000,100000,97361.59079973845
27,97.15885296080313,100000,100000,97083.37996320512
28,95.92735446700598,100000,99971.4981,95916.21361374043
29,95.92757418716761,100000,99971.71569607017,95916.42185595936
30,94.61647836981709,100000,98673.29458000427,94673.81626070841
31,94.77981754656373,100000,98835.05471481825,94828.62277619194
32,93.96798531615475,100000,98031.070675882,94059.19978012914
33,94.16906654658884,100000,98230.20800222001,94249.77674539037
34,93.26684967779774,100000,97336.71309650326,93394.6907063279
35,93.52748106735834,100000,97594.82489522667,93641.70699505384
36,93.89186262114657,100000,97955.68387859192,93987.05365206514
37,93.85760634595488,100000,97921.75876764423,93954.58688749894
38,92.81331149578571,100000,96887.55938502504,92964.84486655782
39,93.74844163459389,100000,97813.64937969213,93851.12482214413
40,93.18392778207644,100000,97254.59282812629,93316.10056041444
41,94.2140472263994,100000,98274.75384220222,94292.40768332116
42,94.46722814955908,100000,98525.48720010422,94532.36270992231
43,94.18066064305295,100000,98241.69001556448,94260.76517884238
44,94.7407662293965,100000,98768.23532845466,94791.61145743723
45,96.7936480002049,100000,98740.0882579825,96737.25291326165
46,97.44961985997492,100000,98104.2022764587,97358.95751523695
47,96.88678391510605,100000,98649.80416762106,96825.52350908192
48,98.7782318589402,100000,96816.27241720752,98618.16426579164
49,98.36495635873133,100000,97216.89340906256,98226.47782903873
50,97.3273087635528,99971.50190000003,98222.76820339786,97243.03581770416
51,98.54344595306836,98727.43172529299,97043.86917151893,98395.64332074586
52,97.01608747910599,97272.89261184628,98524.45988267344,96948.07239527766
53,95.7716560209307,96087.79149722472,99702.93321756243,95768.6486854532
54,95.69133930370263,96011.30401333445,99702.93321756243,95692.52762633681
55,96.10659000753145,96406.75694786289,99702.93321756243,96086.08608421695
56,96.56407355006813,96842.4292001348,99702.93321756243,96519.67118316119
57,97.88510287307473,98100.47624873517,99702.93321756243,97771.6913685171
58,98.81507816782752,98986.11342155149,99702.93321756243,98653.08576350509
59,101.11313641066167,101174.6079080549,99674.51977595115,100831.0959386339
