index,mid,spread,microprice,imbalance,ema_microprice,realized_vol
0,100.00069,0.04171,100.00381,0.14949,100.00381,0.0000000
5000,99.11558,0.04391,99.11747,0.08592,99.11949,0.0001302
10000,98.52531,0.04970,98.52273,-0.10370,98.52305,0.0001318
15000,99.24177,0.05431,99.24762,0.21556,99.22868,0.0001316
20000,99.96620,0.03122,99.95776,-0.54051,99.96168,0.0001316
25000,99.99903,0.02393,100.00036,0.11148,99.96725,0.0001313
30000,99.80027,0.05580,99.79462,-0.20252,99.81352,0.0001312
35000,99.68712,0.03767,99.69652,0.49933,99.68736,0.0001313
40000,100.67434,0.04729,100.68116,0.28842,100.63414,0.0001312
45000,100.62322,0.05437,100.63568,0.45848,100.66271,0.0001312
50000,101.96278,0.02796,101.95776,-0.35970,101.92421,0.0001310
55000,103.04459,0.02763,103.04116,-0.24824,103.03366,0.0001306
60000,102.18034,0.02610,102.17483,-0.42230,102.14020,0.0001304
65000,102.01186,0.05124,102.01883,0.27197,101.94980,0.0001302
70000,102.20096,0.02585,102.19904,-0.14832,102.19149,0.0001302
75000,101.74298,0.02992,101.74814,0.34519,101.77007,0.0001301
80000,100.33132,0.05855,100.32664,-0.16015,100.38224,0.0001299
85000,100.27074,0.05376,100.26717,-0.13285,100.24945,0.0001300
90000,101.13846,0.04357,101.13050,-0.36533,101.17073,0.0001300
95000,100.96297,0.02070,100.96374,0.07453,100.98734,0.0001300
100000,101.17963,0.04765,101.17167,-0.33375,101.13794,0.0001299
105000,100.63569,0.03021,100.63234,-0.22198,100.65426,0.0001300
110000,101.68353,0.04958,101.67859,-0.19944,101.68512,0.0001299
115000,102.03000,0.04178,102.02996,-0.00216,102.00558,0.0001299
120000,102.02116,0.05862,102.01010,-0.37719,101.99335,0.0001297
125000,101.69174,0.05649,101.68489,-0.24264,101.70525,0.0001297
130000,102.65320,0.05429,102.64352,-0.35643,102.60514,0.0001296
135000,103.04830,0.04788,103.03857,-0.40659,103.04655,0.0001295
140000,103.23629,0.02985,103.24121,0.32917,103.22874,0.0001295
145000,103.00758,0.02562,103.00575,-0.14304,103.04314,0.0001293
150000,102.93826,0.02091,102.93343,-0.46154,102.97021,0.0001293
155000,102.42049,0.04569,102.41444,-0.26520,102.47032,0.0001293
160000,103.15247,0.02286,103.15258,0.00913,103.17406,0.0001291
165000,103.89940,0.04191,103.90336,0.18935,103.88576,0.0001291
170000,104.60403,0.04456,104.59930,-0.21237,104.59999,0.0001290
175000,104.80027,0.04763,104.78793,-0.51810,104.81845,0.0001289
180000,106.11047,0.04073,106.10064,-0.48254,106.14039,0.0001287
185000,106.38831,0.05956,106.38877,0.01530,106.38789,0.0001286
190000,106.33138,0.05505,106.33131,-0.00228,106.34170,0.0001285
195000,106.45911,0.03685,106.46373,0.25084,106.44459,0.0001283
200000,106.77860,0.05296,106.77646,-0.08090,106.78095,0.0001282
205000,106.99741,0.03251,106.99281,-0.28300,106.96601,0.0001280
210000,107.72658,0.04466,107.73410,0.33679,107.76419,0.0001279
215000,107.81013,0.02823,107.80699,-0.22298,107.82817,0.0001278
220000,108.87022,0.02376,108.87622,0.50502,108.84715,0.0001277
225000,110.18096,0.05916,110.18062,-0.01175,110.13708,0.0001275
230000,111.10643,0.02972,111.10188,-0.30596,111.09637,0.0001273
