t,S_boundary
0,70.5
0.0025,70.5
0.005,70.5
0.0075,70.5
0.01,70.5
0.0125,70.5
0.015,70.5
0.0175,70.5
0.02,70.5
0.0225,70.5
0.025,70.5
0.0275,70.5
0.03,71.25
0.0325,71.25
0.035,71.25
0.0375,71.25
0.04,71.25
0.0425,71.25
0.045,71.25
0.0475,71.25
0.05,71.25
0.0525,71.25
0.055,71.25
0.0575,71.25
0.06,71.25
0.0625,71.25
0.065,71.25
0.0675,71.25
0.07,71.25
0.0725,71.25
0.075,71.25
0.0775,71.25
0.08,71.25
0.0825,71.25
0.085,71.25
0.0875,71.25
0.09,71.25
0.0925,71.25
0.095,71.25
0.0975,71.25
0.1,71.25
0.1025,71.25
0.105,71.25
0.1075,71.25
0.11,71.25
0.1125,71.25
0.115,71.25
0.1175,71.25
0.12,71.25
0.1225,72
0.125,72
0.1275,72
0.13,72
0.1325,72
0.135,72
0.1375,72
0.14,72
0.1425,72
0.145,72
0.1475,72
0.15,72
0.1525,72
0.155,72
0.1575,72
0.16,72
0.1625,72
0.165,72
0.1675,72
0.17,72
0.1725,72
0.175,72
0.1775,72
0.18,72
0.1825,72
0.185,72
0.1875,72
0.19,72
0.1925,72
0.195,72
0.1975,72
0.2,72
0.2025,72
0.205,72
0.2075,72.75
0.21,72.75
0.2125,72.75
0.215,72.75
0.2175,72.75
0.22,72.75
0.2225,72.75
0.225,72.75
0.2275,72.75
0.23,72.75
0.2325,72.75
0.235,72.75
0.2375,72.75
0.24,72.75
0.2425,72.75
0.245,72.75
0.2475,72.75
0.25,72.75
0.2525,72.75
0.255,72.75
0.2575,72.75
0.26,72.75
0.2625,72.75
0.265,72.75
0.2675,72.75
0.27,72.75
0.2725,72.75
0.275,72.75
0.2775,72.75
0.28,72.75
0.2825,73.5
0.285,73.5
0.2875,73.5
0.29,73.5
0.2925,73.5
0.295,73.5
0.2975,73.5
0.3,73.5
0.3025,73.5
0.305,73.5
0.3075,73.5
0.31,73.5
0.3125,73.5
0.315,73.5
0.3175,73.5
0.32,73.5
0.3225,73.5
0.325,73.5
0.3275,73.5
0.33,73.5
0.3325,73.5
0.335,73.5
0.3375,73.5
0.34,73.5
0.3425,73.5
0.345,73.5
0.3475,73.5
0.35,73.5
0.3525,74.25
0.355,74.25
0.3575,74.25
0.36,74.25
0.3625,74.25
0.365,74.25
0.3675,74.25
0.37,74.25
0.3725,74.25
0.375,74.25
0.3775,74.25
0.38,74.25
0.3825,74.25
0.385,74.25
0.3875,74.25
0.39,74.25
0.3925,74.25
0.395,74.25
0.3975,74.25
0.4,74.25
0.4025,74.25
0.405,74.25
0.4075,74.25
0.41,74.25
0.4125,74.25
0.415,75
0.4175,75
0.42,75
0.4225,75
0.425,75
0.4275,75
0.43,75
0.4325,75
0.435,75
0.4375,75
0.44,75
0.4425,75
0.445,75
0.4475,75
0.45,75
0.4525,75
0.455,75
0.4575,75
0.46,75
0.4625,75
0.465,75
0.4675,75
0.47,75
0.4725,75
0.475,75.75
0.4775,75.75
0.48,75.75
0.4825,75.75
0.485,75.75
0.4875,75.75
0.49,75.75
0.4925,75.75
0.495,75.75
0.4975,75.75
0.5,75.75
0.5025,75.75
0.505,75.75
0.5075,75.75
0.51,75.75
0.5125,75.75
0.515,75.75
0.5175,75.75
0.52,75.75
0.5225,75.75
0.525,76.5
0.5275,76.5
0.53,76.5
0.5325,76.5
0.535,76.5
0.5375,76.5
0.54,76.5
0.5425,76.5
0.545,76.5
0.5475,76.5
0.55,76.5
0.5525,76.5
0.555,76.5
0.5575,76.5
0.56,76.5
0.5625,76.5
0.565,76.5
0.5675,76.5
0.57,76.5
0.5725,76.5
0.575,77.25
0.5775,77.25
0.58,77.25
0.5825,77.25
0.585,77.25
0.5875,77.25
0.59,77.25
0.5925,77.25
0.595,77.25
0.5975,77.25
0.6,77.25
0.6025,77.25
0.605,77.25
0.6075,77.25
0.61,77.25
0.6125,77.25
0.615,77.25
0.6175,78
0.62,78
0.6225,78
0.625,78
0.6275,78
0.63,78
0.6325,78
0.635,78
0.6375,78
0.64,78
0.6425,78
0.645,78
0.6475,78
0.65,78
0.6525,78
0.655,78
0.6575,78.75
0.66,78.75
0.6625,78.75
0.665,78.75
0.6675,78.75
0.67,78.75
0.6725,78.75
0.675,78.75
0.6775,78.75
0.68,78.75
0.6825,78.75
0.685,78.75
0.6875,78.75
0.69,78.75
0.6925,79.5
0.695,79.5
0.6975,79.5
0.7,79.5
0.7025,79.5
0.705,79.5
0.7075,79.5
0.71,79.5
0.7125,79.5
0.715,79.5
0.7175,79.5
0.72,79.5
0.7225,79.5
0.725,80.25
0.7275,80.25
0.73,80.25
0.7325,80.25
0.735,80.25
0.7375,80.25
0.74,80.25
0.7425,80.25
0.745,80.25
0.7475,80.25
0.75,80.25
0.7525,80.25
0.755,81
0.7575,81
0.76,81
0.7625,81
0.765,81
0.7675,81
0.77,81
0.7725,81
0.775,81
0.7775,81
0.78,81
0.7825,81.75
0.785,81.75
0.7875,81.75
0.79,81.75
0.7925,81.75
0.795,81.75
0.7975,81.75
0.8,81.75
0.8025,81.75
0.805,81.75
0.8075,82.5
0.81,82.5
0.8125,82.5
0.815,82.5
0.8175,82.5
0.82,82.5
0.8225,82.5
0.825,82.5
0.8275,82.5
0.83,83.25
0.8325,83.25
0.835,83.25
0.8375,83.25
0.84,83.25
0.8425,83.25
0.845,83.25
0.8475,83.25
0.85,84
0.8525,84
0.855,84
0.8575,84
0.86,84
0.8625,84
0.865,84
0.8675,84.75
0.87,84.75
0.8725,84.75
0.875,84.75
0.8775,84.75
0.88,84.75
0.8825,84.75
0.885,85.5
0.8875,85.5
0.89,85.5
0.8925,85.5
0.895,85.5
0.8975,85.5
0.9,86.25
0.9025,86.25
0.905,86.25
0.9075,86.25
0.91,86.25
0.9125,87
0.915,87
0.9175,87
0.92,87
0.9225,87
0.925,87.75
0.9275,87.75
0.93,87.75
0.9325,87.75
0.935,87.75
0.9375,88.5
0.94,88.5
0.9425,88.5
0.945,88.5
0.9475,89.25
0.95,89.25
0.9525,89.25
0.955,90
0.9575,90
0.96,90
0.9625,90.75
0.965,90.75
0.9675,90.75
0.97,91.5
0.9725,91.5
0.975,92.25
0.9775,92.25
0.98,93
0.9825,93
0.985,93.75
0.9875,94.5
0.99,94.5
0.9925,95.25
0.995,96
0.9975,97.5
1,nan
